"","conv","country","drop_kicks","opposition","penalties","player","points","position","result","tries","country_tier","opposition_tier"
"7100",0,"Braz",0,"Paraguay",0,"YVM Rosetti",5,"H","won",1,"3","3"
"7101",0,"Braz",0,"Paraguay",0,"DH Sancery",5,"FB","won",1,"3","3"
"7102",0,"Braz",0,"Paraguay",0,"FH Sancery",5,"C","won",1,"3","3"
"7103",0,"Kenya",0,"Germany",0,"DL Ambunya",5,"C","lost",1,"3","2"
"7104",0,"Germ",0,"Kenya",0,"H Aounallah",5,"FB","won",1,"2","3"
"7105",0,"Germ",0,"Kenya",0,"JW Els",5,"N8","won",1,"2","3"
"7106",1,"Germ",1,"Kenya",0,"C Hilsenback",5,"FH","won",0,"2","3"
"7107",0,"Kenya",0,"Germany",0,"EM Kerre",5,"F","lost",1,"3","2"
"7108",0,"Kenya",0,"Germany",0,"W Kopondo",5,"L","lost",1,"3","2"
"7109",0,"Kenya",0,"Germany",0,"SB Onsomu",5,"SH","lost",1,"3","2"
"7110",0,"Germ",0,"Kenya",0,"J Otto",5,"F","won",1,"2","3"
"7111",1,"Germ",0,"Kenya",1,"R Parkinson",5,"C","won",0,"2","3"
"7112",0,"Germ",0,"Kenya",0,"M Poppmeier",5,"L","won",1,"2","3"
"7113",0,"Chile",0,"Uruguay",0,"F de la Fuente Rivas",5,"C","lost",1,"3","2"
"7114",0,"Urug",0,"Chile",0,"LL Leivas Ballestrino",5,"W","won",1,"2","3"
